time,open,high,low,close,volume,complete
2025-06-01T21:00:00.000000000Z,0.665,0.66501,0.66484,0.66487,91,True
2025-06-01T21:15:00.000000000Z,0.66487,0.66513,0.66446,0.66497,116,True
2025-06-01T21:30:00.000000000Z,0.66497,0.66526,0.66489,0.6652,518,True
2025-06-01T21:45:00.000000000Z,0.6652,0.66543,0.66494,0.66509,112,True
2025-06-01T22:00:00.000000000Z,0.66509,0.6654,0.66501,0.66508,171,True
2025-06-01T22:15:00.000000000Z,0.66508,0.66523,0.66479,0.66506,340,True
2025-06-01T22:30:00.000000000Z,0.66506,0.66579,0.66492,0.66565,97,True
2025-06-01T22:45:00.000000000Z,0.66565,0.66569,0.66533,0.66551,294,True
2025-06-01T23:00:00.000000000Z,0.66551,0.66567,0.66544,0.66559,473,True
2025-06-01T23:15:00.000000000Z,0.66559,0.66598,0.66555,0.66562,375,True
2025-06-01T23:30:00.000000000Z,0.66562,0.66566,0.66559,0.66564,185,True
2025-06-01T23:45:00.000000000Z,0.66564,0.66613,0.66551,0.66591,365,True
2025-06-02T00:00:00.000000000Z,0.66591,0.6661,0.6659,0.66598,310,True
2025-06-02T00:15:00.000000000Z,0.66598,0.66639,0.66595,0.66637,348,True
2025-06-02T00:30:00.000000000Z,0.66637,0.66683,0.66629,0.6667,146,True
2025-06-02T00:45:00.000000000Z,0.6667,0.66701,0.66605,0.66609,247,True
2025-06-02T01:00:00.000000000Z,0.66609,0.66636,0.66561,0.66593,478,True
2025-06-02T01:15:00.000000000Z,0.66593,0.66617,0.66563,0.66611,466,True
2025-06-02T01:30:00.000000000Z,0.66611,0.66612,0.66594,0.66604,504,True
2025-06-02T01:45:00.000000000Z,0.66604,0.66664,0.66578,0.66641,300,True
2025-06-02T02:00:00.000000000Z,0.66641,0.66717,0.6664,0.66703,502,True
2025-06-02T02:15:00.000000000Z,0.66703,0.6672,0.66683,0.66702,558,True
2025-06-02T02:30:00.000000000Z,0.66702,0.66705,0.66682,0.66693,310,True
2025-06-02T02:45:00.000000000Z,0.66693,0.6672,0.66666,0.66682,368,True
2025-06-02T03:00:00.000000000Z,0.66682,0.66745,0.66673,0.66733,134,True
2025-06-02T03:15:00.000000000Z,0.66733,0.66755,0.66692,0.66707,466,True
2025-06-02T03:30:00.000000000Z,0.66707,0.6673,0.66647,0.66663,352,True
2025-06-02T03:45:00.000000000Z,0.66663,0.66691,0.66657,0.66674,305,True
2025-06-02T04:00:00.000000000Z,0.66674,0.66682,0.66644,0.66667,499,True
2025-06-02T04:15:00.000000000Z,0.66667,0.66694,0.66634,0.66683,218,True
2025-06-02T04:30:00.000000000Z,0.66683,0.6676,0.66675,0.6671,398,True
2025-06-02T04:45:00.000000000Z,0.6671,0.66727,0.6661,0.6663,229,True
2025-06-02T05:00:00.000000000Z,0.6663,0.66648,0.66626,0.66628,310,True
2025-06-02T05:15:00.000000000Z,0.66628,0.66644,0.6659,0.66605,580,True
2025-06-02T05:30:00.000000000Z,0.66605,0.66613,0.66561,0.66583,594,True
2025-06-02T05:45:00.000000000Z,0.66583,0.66598,0.6658,0.66597,504,True
2025-06-02T06:00:00.000000000Z,0.66597,0.66639,0.66597,0.66623,252,True
2025-06-02T06:15:00.000000000Z,0.66623,0.66666,0.66615,0.66637,556,True
2025-06-02T06:30:00.000000000Z,0.66637,0.66684,0.66623,0.66672,424,True
2025-06-02T06:45:00.000000000Z,0.66672,0.66682,0.66649,0.66653,202,True
2025-06-02T07:00:00.000000000Z,0.66653,0.66724,0.66621,0.66692,274,True
2025-06-02T07:15:00.000000000Z,0.66692,0.66801,0.66658,0.66768,103,True
2025-06-02T07:30:00.000000000Z,0.66768,0.66816,0.66728,0.66801,532,True
2025-06-02T07:45:00.000000000Z,0.66801,0.66822,0.66734,0.66757,380,True
2025-06-02T08:00:00.000000000Z,0.66757,0.66787,0.66748,0.66769,566,True
2025-06-02T08:15:00.000000000Z,0.66769,0.6687,0.66702,0.66813,257,True
2025-06-02T08:30:00.000000000Z,0.66813,0.66838,0.66762,0.66771,189,True
2025-06-02T08:45:00.000000000Z,0.66771,0.66846,0.66736,0.66802,365,True
