time,open,high,low,close,volume,complete
2025-06-01T21:00:00.000000000Z,1.085,1.08534,1.08494,1.08531,169,True
2025-06-01T21:15:00.000000000Z,1.08531,1.08606,1.08529,1.08596,318,True
2025-06-01T21:30:00.000000000Z,1.08596,1.08624,1.08578,1.08622,305,True
2025-06-01T21:45:00.000000000Z,1.08622,1.0863,1.08534,1.08581,243,True
2025-06-01T22:00:00.000000000Z,1.08581,1.08593,1.08547,1.08569,174,True
2025-06-01T22:15:00.000000000Z,1.08569,1.08583,1.08542,1.08559,350,True
2025-06-01T22:30:00.000000000Z,1.08559,1.08589,1.08529,1.08553,380,True
2025-06-01T22:45:00.000000000Z,1.08553,1.08589,1.08512,1.08546,276,True
2025-06-01T23:00:00.000000000Z,1.08546,1.0858,1.08543,1.08575,318,True
2025-06-01T23:15:00.000000000Z,1.08575,1.08613,1.08555,1.08592,453,True
2025-06-01T23:30:00.000000000Z,1.08592,1.08622,1.08542,1.08553,153,True
2025-06-01T23:45:00.000000000Z,1.08553,1.08573,1.08456,1.08492,247,True
2025-06-02T00:00:00.000000000Z,1.08492,1.08549,1.08473,1.0848,412,True
2025-06-02T00:15:00.000000000Z,1.0848,1.08483,1.08433,1.08452,112,True
2025-06-02T00:30:00.000000000Z,1.08452,1.08457,1.0841,1.08439,402,True
2025-06-02T00:45:00.000000000Z,1.08439,1.08492,1.0841,1.0841,549,True
2025-06-02T01:00:00.000000000Z,1.0841,1.08486,1.0837,1.08454,518,True
2025-06-02T01:15:00.000000000Z,1.08454,1.08469,1.08426,1.08437,221,True
2025-06-02T01:30:00.000000000Z,1.08437,1.08452,1.08409,1.08448,512,True
2025-06-02T01:45:00.000000000Z,1.08448,1.08512,1.08425,1.08486,559,True
2025-06-02T02:00:00.000000000Z,1.08486,1.08579,1.08445,1.0857,353,True
2025-06-02T02:15:00.000000000Z,1.0857,1.08587,1.08552,1.08575,241,True
2025-06-02T02:30:00.000000000Z,1.08575,1.08675,1.08572,1.08659,262,True
2025-06-02T02:45:00.000000000Z,1.08659,1.08738,1.08637,1.0871,599,True
2025-06-02T03:00:00.000000000Z,1.0871,1.08788,1.08666,1.08752,80,True
2025-06-02T03:15:00.000000000Z,1.08752,1.08765,1.08733,1.08734,451,True
2025-06-02T03:30:00.000000000Z,1.08734,1.08772,1.08683,1.08752,160,True
2025-06-02T03:45:00.000000000Z,1.08752,1.08793,1.08751,1.08784,208,True
2025-06-02T04:00:00.000000000Z,1.08784,1.08788,1.08726,1.08731,513,True
2025-06-02T04:15:00.000000000Z,1.08731,1.08857,1.08713,1.08818,285,True
2025-06-02T04:30:00.000000000Z,1.08818,1.08841,1.08727,1.08766,542,True
2025-06-02T04:45:00.000000000Z,1.08766,1.08835,1.08743,1.08831,315,True
2025-06-02T05:00:00.000000000Z,1.08831,1.08899,1.08822,1.08898,112,True
2025-06-02T05:15:00.000000000Z,1.08898,1.08921,1.08889,1.08903,577,True
2025-06-02T05:30:00.000000000Z,1.08903,1.09015,1.08877,1.08971,564,True
2025-06-02T05:45:00.000000000Z,1.08971,1.08975,1.08939,1.0895,521,True
2025-06-02T06:00:00.000000000Z,1.0895,1.08977,1.08842,1.08877,180,True
2025-06-02T06:15:00.000000000Z,1.08877,1.08903,1.08833,1.08897,191,True
2025-06-02T06:30:00.000000000Z,1.08897,1.08939,1.0888,1.08914,335,True
2025-06-02T06:45:00.000000000Z,1.08914,1.0897,1.08893,1.0893,180,True
2025-06-02T07:00:00.000000000Z,1.0893,1.09065,1.08834,1.09065,322,True
2025-06-02T07:15:00.000000000Z,1.09065,1.09094,1.09031,1.09034,490,True
2025-06-02T07:30:00.000000000Z,1.09034,1.09039,1.08958,1.09037,545,True
2025-06-02T07:45:00.000000000Z,1.09037,1.09162,1.08972,1.09139,578,True
2025-06-02T08:00:00.000000000Z,1.09139,1.09244,1.09041,1.09087,401,True
2025-06-02T08:15:00.000000000Z,1.09087,1.09128,1.09022,1.09046,241,True
2025-06-02T08:30:00.000000000Z,1.09046,1.0905,1.08905,1.08918,320,True
2025-06-02T08:45:00.000000000Z,1.08918,1.08976,1.089,1.08928,120,True
2025-06-02T09:00:00.000000000Z,1.08928,1.08954,1.08759,1.08851,289,True
2025-06-02T09:15:00.000000000Z,1.08851,1.08864,1.088,1.08829,214,True
2025-06-02T09:30:00.000000000Z,1.08829,1.08863,1.0881,1.0881,549,True
2025-06-02T09:45:00.000000000Z,1.0881,1.08828,1.08776,1.08784,298,True
2025-06-02T10:00:00.000000000Z,1.08784,1.08856,1.08755,1.08827,371,True
2025-06-02T10:15:00.000000000Z,1.08827,1.0888,1.08772,1.08848,88,True
2025-06-02T10:30:00.000000000Z,1.08848,1.08881,1.0863,1.08697,350,True
2025-06-02T10:45:00.000000000Z,1.08697,1.08822,1.08665,1.08781,358,True
